User: DNAP OPS TEAM,,,,,
Path: C:\Program Files (x86)\BMG\Omega\DNAPOPSTEAM\Data\,,,,,
Test ID: 2634,,,,,
Test Name: DNAQ_v1.0,,,,,
Date: 10/11/2017,,,,,
Time: 11:07:26,,,,,
ID1: QNTE_A_2411,,,,,
Fluorescence (FI),,,,,
,,,,,
,,,,,
"Well
Row","Well
Col",Content,Sample IDs,Linear regression fit based on Blank corrected in ng/uL (485/520),good / bad based on %CV (485/520)
M,4,Sample X15,G2,1.345,
N,3,Sample X15,G2,1.109,
O,3,Sample X16,H2,0.275,
O,4,Sample X16,H2,0.348,
P,3,Sample X16,H2,0.284,
A,5,Sample X17,A3,1.658,
A,6,Sample X17,A3,1.887,
B,5,Sample X17,A3,2.18,
C,5,Sample X18,B3,8.842,
C,6,Sample X18,B3,8.481,
D,5,Sample X18,B3,8.417,
E,5,Sample X19,C3,1.032,
E,6,Sample X19,C3,1.07,
F,5,Sample X19,C3,0.888,
G,5,Sample X20,D3,0.518,
G,6,Sample X20,D3,0.507,
H,5,Sample X20,D3,0.52,
I,5,Sample X21,E3,0.62,
I,6,Sample X21,E3,0.663,
J,5,Sample X21,E3,0.613,
K,5,Sample X22,F3,0.386,
K,6,Sample X22,F3,0.416,
L,5,Sample X22,F3,0.334,
M,5,Sample X23,G3,1.082,
M,6,Sample X23,G3,1.034,
N,5,Sample X23,G3,0.947,
O,5,Sample X24,H3,1.757,
O,6,Sample X24,H3,1.94,
P,5,Sample X24,H3,1.625,
A,7,Sample X25,A4,0.518,
A,8,Sample X25,A4,0.493,
B,7,Sample X25,A4,0.414,
C,7,Sample X26,B4,0.823,
C,8,Sample X26,B4,0.807,
D,7,Sample X26,B4,0.699,
E,7,Sample X27,C4,1.73,
E,8,Sample X27,C4,1.77,
F,7,Sample X27,C4,1.578,
G,7,Sample X28,D4,0.899,
G,8,Sample X28,D4,0.809,
H,7,Sample X28,D4,0.647,
I,7,Sample X29,E4,0.66,
I,8,Sample X29,E4,0.656,
J,7,Sample X29,E4,0.622,
K,7,Sample X30,F4,0.588,
K,8,Sample X30,F4,0.522,
L,7,Sample X30,F4,0.52,
M,7,Sample X31,G4,0.771,
M,8,Sample X31,G4,0.705,
N,7,Sample X31,G4,0.71,
O,7,Sample X32,H4,3.795,
O,8,Sample X32,H4,3.904,
P,7,Sample X32,H4,3.541,
A,9,Sample X33,A5,0.66,
A,10,Sample X33,A5,0.62,
B,9,Sample X33,A5,0.583,
C,9,Sample X34,B5,1.203,
C,10,Sample X34,B5,1.079,
D,9,Sample X34,B5,0.969,
E,9,Sample X35,C5,0.454,
E,10,Sample X35,C5,0.411,
F,9,Sample X35,C5,0.346,
G,9,Sample X36,D5,0.55,
G,10,Sample X36,D5,0.466,
H,9,Sample X36,D5,0.416,
I,9,Sample X37,E5,0.735,
I,10,Sample X37,E5,0.897,
J,9,Sample X37,E5,0.665,
K,9,Sample X38,F5,0.683,
K,10,Sample X38,F5,0.69,
L,9,Sample X38,F5,0.59,
M,9,Sample X39,G5,0.89,
M,10,Sample X39,G5,0.841,
N,9,Sample X39,G5,0.884,
O,9,Sample X40,H5,0.209,INSPECT
O,10,Sample X40,H5,0.186,INSPECT
P,9,Sample X40,H5,0.113,INSPECT
A,11,Sample X41,A6,0.944,
A,12,Sample X41,A6,0.836,
B,11,Sample X41,A6,0.784,
C,11,Sample X42,B6,0.595,
C,12,Sample X42,B6,0.638,
D,11,Sample X42,B6,0.525,
E,11,Sample X43,C6,0.613,
E,12,Sample X43,C6,0.647,
F,11,Sample X43,C6,0.615,
G,11,Sample X44,D6,0.184,INSPECT
G,12,Sample X44,D6,0.181,INSPECT
H,11,Sample X44,D6,0.115,INSPECT
I,11,Sample X45,E6,0.814,
I,12,Sample X45,E6,0.868,
J,11,Sample X45,E6,0.699,
K,11,Sample X46,F6,0.606,
K,12,Sample X46,F6,0.649,
L,11,Sample X46,F6,0.556,
M,11,Sample X47,G6,0.886,
M,12,Sample X47,G6,0.924,
N,11,Sample X47,G6,0.845,
O,11,Sample X48,H6,0.434,
O,12,Sample X48,H6,0.407,
P,11,Sample X48,H6,0.352,
A,13,Sample X49,A7,0.69,INSPECT
A,14,Sample X49,A7,2.677,INSPECT
B,13,Sample X49,A7,0.665,INSPECT
C,13,Sample X50,B7,2.865,
C,14,Sample X50,B7,2.657,
D,13,Sample X50,B7,2.354,
E,13,Sample X51,C7,0.572,
E,14,Sample X51,C7,0.672,
F,13,Sample X51,C7,0.502,
G,13,Sample X52,D7,0.902,
G,14,Sample X52,D7,0.974,
H,13,Sample X52,D7,0.701,
I,13,Sample X53,E7,0.565,INSPECT
I,14,Sample X53,E7,0.497,INSPECT
J,13,Sample X53,E7,0.371,INSPECT
K,13,Sample X54,F7,3.259,
K,14,Sample X54,F7,3.268,
L,13,Sample X54,F7,3.038,
M,13,Sample X55,G7,4.288,
M,14,Sample X55,G7,4.49,
N,13,Sample X55,G7,4.401,
O,13,Sample X56,H7,4.619,
O,14,Sample X56,H7,4.734,
P,13,Sample X56,H7,4.45,
A,15,Sample X57,A8,4.989,
A,16,Sample X57,A8,5.189,
B,15,Sample X57,A8,5.002,
C,15,Sample X58,B8,5.539,
C,16,Sample X58,B8,5.483,
D,15,Sample X58,B8,5.149,
E,15,Sample X59,C8,4.466,
E,16,Sample X59,C8,4.208,
F,15,Sample X59,C8,3.83,
G,15,Sample X60,D8,3.419,
G,16,Sample X60,D8,3.443,
H,15,Sample X60,D8,3.323,
I,15,Sample X61,E8,2.882,
I,16,Sample X61,E8,2.731,
J,15,Sample X61,E8,2.517,
K,15,Sample X62,F8,4.925,
K,16,Sample X62,F8,4.781,
L,15,Sample X62,F8,4.632,
M,15,Sample X63,G8,3.606,
M,16,Sample X63,G8,3.61,
N,15,Sample X63,G8,3.334,
O,15,Sample X64,H8,2.523,
O,16,Sample X64,H8,2.637,
P,15,Sample X64,H8,2.445,
A,17,Sample X65,A9,3.259,
A,18,Sample X65,A9,3.501,
B,17,Sample X65,A9,3.174,
C,17,Sample X66,B9,1.524,
C,18,Sample X66,B9,1.569,
D,17,Sample X66,B9,1.425,
E,17,Sample X67,C9,3.018,
E,18,Sample X67,C9,3.125,
F,17,Sample X67,C9,2.622,
G,17,Sample X68,D9,2.963,
G,18,Sample X68,D9,3.341,
H,17,Sample X68,D9,2.885,
I,17,Sample X69,E9,16.105,
I,18,Sample X69,E9,15.873,
J,17,Sample X69,E9,16.327,
K,17,Sample X70,F9,19.474,
K,18,Sample X70,F9,19.732,
L,17,Sample X70,F9,18.282,
M,17,Sample X71,G9,13.113,
M,18,Sample X71,G9,12.838,
N,17,Sample X71,G9,13.313,
O,17,Sample X72,H9,,
O,18,Sample X72,H9,,
P,17,Sample X72,H9,,
A,19,Sample X73,A10,,
A,20,Sample X73,A10,,
B,19,Sample X73,A10,,
C,19,Sample X74,B10,,
C,20,Sample X74,B10,,
D,19,Sample X74,B10,,
E,19,Sample X75,C10,,
E,20,Sample X75,C10,,
F,19,Sample X75,C10,,
G,19,Sample X76,D10,,
G,20,Sample X76,D10,,
H,19,Sample X76,D10,,
I,19,Sample X77,E10,,
I,20,Sample X77,E10,,
J,19,Sample X77,E10,,
K,19,Sample X78,F10,,
K,20,Sample X78,F10,,
L,19,Sample X78,F10,,
M,19,Sample X79,G10,,
M,20,Sample X79,G10,,
N,19,Sample X79,G10,,
O,19,Sample X80,H10,,
O,20,Sample X80,H10,,
P,19,Sample X80,H10,,
A,21,Sample X81,A11,,
A,22,Sample X81,A11,,
B,21,Sample X81,A11,,
C,21,Sample X82,B11,,
C,22,Sample X82,B11,,
D,21,Sample X82,B11,,
E,21,Sample X83,C11,,
E,22,Sample X83,C11,,
F,21,Sample X83,C11,,
G,21,Sample X84,D11,,
G,22,Sample X84,D11,,
H,21,Sample X84,D11,,
I,21,Sample X85,E11,,
I,22,Sample X85,E11,,
J,21,Sample X85,E11,,
K,21,Sample X86,F11,,
K,22,Sample X86,F11,,
L,21,Sample X86,F11,,
M,21,Sample X87,G11,,
M,22,Sample X87,G11,,
N,21,Sample X87,G11,,
O,21,Sample X88,H11,,
O,22,Sample X88,H11,,
P,21,Sample X88,H11,,
A,23,Sample X89,A12,,
A,24,Sample X89,A12,,
B,23,Sample X89,A12,,
C,23,Sample X90,B12,,
C,24,Sample X90,B12,,
D,23,Sample X90,B12,,
E,23,Sample X91,C12,,
E,24,Sample X91,C12,,
F,23,Sample X91,C12,,
G,23,Sample X92,D12,,
G,24,Sample X92,D12,,
H,23,Sample X92,D12,,
I,23,Sample X93,E12,,
I,24,Sample X93,E12,,
J,23,Sample X93,E12,,
K,23,Sample X94,F12,,
K,24,Sample X94,F12,,
L,23,Sample X94,F12,,
M,23,Sample X95,G12,,
M,24,Sample X95,G12,,
N,23,Sample X95,G12,,
O,23,Sample X96,H12,,
O,24,Sample X96,H12,,
P,23,Sample X96,H12,,
B,2,Standard S1,Std 1,24.967,
B,4,Standard S1,Std 1,26.101,
B,6,Standard S1,Std 1,27.155,
D,2,Standard S2,Std 2,10.489,
D,4,Standard S2,Std 2,10.647,
D,6,Standard S2,Std 2,10.888,
F,2,Standard S3,Std 3,2.903,
F,4,Standard S3,Std 3,2.961,
F,6,Standard S3,Std 3,3.185,
H,2,Standard S4,Std 4,0.938,
H,4,Standard S4,Std 4,0.948,
H,6,Standard S4,Std 4,0.955,
J,2,Standard S5,Std 5,0.256,
J,4,Standard S5,Std 5,0.267,
J,6,Standard S5,Std 5,0.275,
L,2,Standard S6,Std 6,0.073,
L,4,Standard S6,Std 6,0.082,
L,6,Standard S6,Std 6,0.095,
N,2,Standard S7,Std 7,0.039,
N,4,Standard S7,Std 7,0.034,
N,6,Standard S7,Std 7,0.041,
